"","tree.data.check.group","tree.data.check.ID","tree.data.check.Rb","tree.data.check.Sr","tree.data.check.Y","tree.data.check.Zr","tree.data.check.Nb","tree.data.check.pc1","tree.data.check.pc2"
"131","C","A22",182,14,26,70,46,-0.88,1.67
"161","C","A61",179,13,47,163,58,0.78,-0.06
"241","C","A62",195,12,47,182,56,1.12,-0.24
"651","C","A63",195,14,48,171,53,0.96,-0.12
"221","C","A65",181,12,48,174,50,0.79,-0.21
"271","C","A69",186,13,51,182,60,1.19,-0.37
"1071","C","A78",183,11,45,175,60,0.95,-0.15
"871","C","A81",179,12,46,180,61,0.98,-0.29
"511","C","A86",184,15,43,159,53,0.57,0.04
"491","C","A88",189,16,39,154,47,0.34,0.19
"388","C","A89",202,14,41,164,62,0.96,0.12
